season,date,home_team,away_team,attendance,stadium,url
2000/01,11.08.2000,Stuttgarter Kickers,Rot-Weiß Oberhausen,5400,GAZi-Stadion auf der Waldau,https://www.transfermarkt.de/spielbericht/index/spielbericht/941734
2000/01,11.08.2000,Hannover 96,1.FC Nürnberg,20329,Heinz-von-Heiden-Arena,https://www.transfermarkt.de/spielbericht/index/spielbericht/941735
2000/01,12.08.2000,Borussia Mönchengladbach,1.FC Saarbrücken,30350,Bökelberg,https://www.transfermarkt.de/spielbericht/index/spielbericht/941736
2000/01,12.08.2000,LR Ahlen,FC St. Pauli,8000,Wersestadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941737
2000/01,13.08.2000,SpVgg Greuther Fürth,Chemnitzer FC,7020,Sportpark Ronhof | Thomas Sommer,https://www.transfermarkt.de/spielbericht/index/spielbericht/941738
2000/01,13.08.2000,Arminia Bielefeld,VfL Osnabrück,21258,SchücoArena,https://www.transfermarkt.de/spielbericht/index/spielbericht/941739
2000/01,13.08.2000,SSV Reutlingen 05,1.FSV Mainz 05,6950,Stadion an der Kreuzeiche,https://www.transfermarkt.de/spielbericht/index/spielbericht/941740
2000/01,13.08.2000,SV Waldhof Mannheim,Alemannia Aachen,7400,Carl-Benz-Stadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941741
2000/01,14.08.2000,MSV Duisburg,SSV Ulm 1846,8550,MSV-Arena,https://www.transfermarkt.de/spielbericht/index/spielbericht/941742
2000/01,18.08.2000,Chemnitzer FC,Hannover 96,7020,Stadion - An der Gellertstraße,https://www.transfermarkt.de/spielbericht/index/spielbericht/941743
2000/01,18.08.2000,FC St. Pauli,SV Waldhof Mannheim,17919,Millerntor-Stadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941744
2000/01,19.08.2000,Alemannia Aachen,SSV Reutlingen 05,12500,Tivoli (alt),https://www.transfermarkt.de/spielbericht/index/spielbericht/941745
2000/01,19.08.2000,VfL Osnabrück,Borussia Mönchengladbach,20000,Bremer Brücke,https://www.transfermarkt.de/spielbericht/index/spielbericht/941746
2000/01,20.08.2000,1.FC Nürnberg,LR Ahlen,21700,Max-Morlock-Stadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941747
2000/01,20.08.2000,1.FSV Mainz 05,Stuttgarter Kickers,5668,Stadion am Bruchweg,https://www.transfermarkt.de/spielbericht/index/spielbericht/941748
2000/01,20.08.2000,Rot,Weiß Oberhausen - MSV Duisburg,13200,Stadion Niederrhein,https://www.transfermarkt.de/spielbericht/index/spielbericht/941749
2000/01,20.08.2000,1.FC Saarbrücken,SpVgg Greuther Fürth,18000,Ludwigsparkstadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941750
2000/01,21.08.2000,SSV Ulm 1846,Arminia Bielefeld,13000,Donaustadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941751
2000/01,04.09.2000,Borussia Mönchengladbach,SSV Ulm 1846,18800,Bökelberg,https://www.transfermarkt.de/spielbericht/index/spielbericht/941752
2000/01,05.09.2000,Arminia Bielefeld,Rot-Weiß Oberhausen,12030,SchücoArena,https://www.transfermarkt.de/spielbericht/index/spielbericht/941753
2000/01,05.09.2000,MSV Duisburg,1.FSV Mainz 05,7000,MSV-Arena,https://www.transfermarkt.de/spielbericht/index/spielbericht/941754
2000/01,05.09.2000,SSV Reutlingen 05,FC St. Pauli,10955,Stadion an der Kreuzeiche,https://www.transfermarkt.de/spielbericht/index/spielbericht/941755
2000/01,05.09.2000,Chemnitzer FC,1.FC Saarbrücken,5325,Stadion - An der Gellertstraße,https://www.transfermarkt.de/spielbericht/index/spielbericht/941756
2000/01,05.09.2000,Hannover 96,LR Ahlen,11587,Heinz-von-Heiden-Arena,https://www.transfermarkt.de/spielbericht/index/spielbericht/941757
2000/01,06.09.2000,SpVgg Greuther Fürth,VfL Osnabrück,5806,Sportpark Ronhof | Thomas Sommer,https://www.transfermarkt.de/spielbericht/index/spielbericht/941758
2000/01,06.09.2000,Stuttgarter Kickers,Alemannia Aachen,4115,GAZi-Stadion auf der Waldau,https://www.transfermarkt.de/spielbericht/index/spielbericht/941759
2000/01,06.09.2000,SV Waldhof Mannheim,1.FC Nürnberg,12000,Carl-Benz-Stadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941760
2000/01,08.09.2000,1.FSV Mainz 05,Arminia Bielefeld,5341,Stadion am Bruchweg,https://www.transfermarkt.de/spielbericht/index/spielbericht/941761
2000/01,08.09.2000,1.FC Saarbrücken,Hannover 96,11000,Ludwigsparkstadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941762
2000/01,09.09.2000,1.FC Nürnberg,SSV Reutlingen 05,21300,Max-Morlock-Stadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941763
2000/01,09.09.2000,LR Ahlen,SV Waldhof Mannheim,4311,Wersestadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941764
2000/01,10.09.2000,Rot,Weiß Oberhausen - Borussia Mönchengladbach,12437,Stadion Niederrhein,https://www.transfermarkt.de/spielbericht/index/spielbericht/941765
2000/01,10.09.2000,SSV Ulm 1846,SpVgg Greuther Fürth,8000,Donaustadion,https://www.transfermarkt.de/spielbericht/index/spielbericht/941766
2000/01,10.09.2000,VfL Osnabrück,Chemnitzer FC,8326,Bremer Brücke,https://www.transfermarkt.de/spielbericht/index/spielbericht/941767
