season,bl1_price,bl2_price,bl1_price_type,bl2_price_type,bl1_season_ticket_share,bl2_season_ticket_share,notes
1999/00,11.86,8.82,extrapolated,extrapolated,,,"Backward extrapolation from 2004/05 using 2004-2011 growth rate (BL1 +€0.99/yr; BL2 +€0.38/yr)"
2000/01,12.85,9.20,extrapolated,extrapolated,,,"Backward extrapolation"
2001/02,13.84,9.58,extrapolated,extrapolated,,,"Backward extrapolation"
2002/03,14.83,9.96,extrapolated,extrapolated,,,"Backward extrapolation"
2003/04,15.82,10.34,extrapolated,extrapolated,,,"Backward extrapolation"
2004/05,16.81,10.72,observed,observed,,,"DFL Report 2009"
2005/06,18.63,11.30,observed,observed,55.69,36.16,"DFL Reports 2009+2010"
2006/07,18.91,12.38,observed,observed,53.31,37.43,"DFL Reports 2009+2010"
2007/08,19.47,13.30,observed,observed,57.75,50.77,"DFL Reports 2009+2010+2011"
2008/09,20.79,13.35,observed,observed,58.90,52.45,"DFL Reports 2010+2011+2012"
2009/10,21.89,13.77,observed,observed,58.31,43.26,"DFL Reports 2011+2012"
2010/11,22.75,13.01,observed,observed,60.28,40.75,"DFL Report 2012"
2011/12,23.14,13.69,interpolated,interpolated,59.76,46.87,"Linear interp 2010/11→2019/20; season ticket shares from DFL Report 2013"
2012/13,23.53,14.37,interpolated,interpolated,,,"Linear interp 2010/11→2019/20"
2013/14,23.92,15.05,interpolated,interpolated,,,"Linear interp 2010/11→2019/20"
2014/15,24.31,15.73,interpolated,interpolated,,,"Linear interp 2010/11→2019/20"
2015/16,24.69,16.41,interpolated,interpolated,,,"Linear interp 2010/11→2019/20"
2016/17,25.08,17.09,interpolated,interpolated,,,"Linear interp 2010/11→2019/20"
2017/18,25.47,17.77,interpolated,interpolated,,,"Linear interp 2010/11→2019/20"
2018/19,25.86,18.45,interpolated,interpolated,,,"Linear interp 2010/11→2019/20"
2019/20,26.25,19.13,observed,observed,,,"DFL Spectator Report 2024/25 (comparison baseline)"
2020/21,,,excluded,excluded,,,"COVID — ghost games; no attendance data used"
2021/22,,,excluded,excluded,,,"COVID recovery season — excluded from regression"
2022/23,,,missing,missing,54.94,51.80,"No price data; season ticket shares from DFL 2022-23 Economic Report"
2023/24,28.30,22.93,observed,observed,,,"DFL press release 2024"
2024/25,28.78,24.70,observed,observed,,,"DFL press release 2025"
