"League","Season","SourceFile","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HF","AF","HC","AC","HY","AY","HR","AR","HST","AST","Referee","Attendance","Stadium","Source","station_id","temp_mean","temp_max","temp_min","precip_mm","sunshine_h","capacity","fill_rate","avg_price","price_type"
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","Chemnitz","Wuppertaler",0,0,"D",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","CZ Jena","Hertha",1,1,"D",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","Hansa Rostock","Munich 1860",4,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","Homburg","St Pauli",2,1,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","Mannheim","F Koln",1,1,"D",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","Meppen","Bochum",0,1,"A",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","RW Essen","Saarbrucken",3,1,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","Stuttgarter K","Hannover",0,0,"D",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","TB Berlin","Mainz",0,1,"A",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-28","Wolfsburg","Uerdingen",3,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Bochum","Hansa Rostock",2,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","F Koln","Wolfsburg",2,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Hannover","TB Berlin",0,1,"A",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Hertha","Mannheim",1,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Mainz","CZ Jena",2,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Munich 1860","RW Essen",1,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Saarbrucken","Stuttgarter K",3,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","St Pauli","Chemnitz",3,0,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Uerdingen","Homburg",0,1,"A",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 2","1993/94","D2.csv","D2","1993-07-31","Wuppertaler","Meppen",0,1,"A",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 1","1993/94","D1.csv","D1","1993-08-07","Bayern Munich","Freiburg",3,1,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 1","1993/94","D1.csv","D1","1993-08-07","Dortmund","Karlsruhe",2,1,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 1","1993/94","D1.csv","D1","1993-08-07","Duisburg","Leverkusen",2,2,"D",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 1","1993/94","D1.csv","D1","1993-08-07","FC Koln","Kaiserslautern",0,2,"A",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 1","1993/94","D1.csv","D1","1993-08-07","Hamburg","Nurnberg",5,2,"H",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Bundesliga 1","1993/94","D1.csv","D1","1993-08-07","RB Leipzig","Dresden",3,3,"D",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
