"label","n","coef","se","t","p"
"BL1 M1: temp_mean",6394,0.00112973357440661,0.000496454292632527,2.27560440341048,0.0277934303606273
"BL1 M2: sunshine_h",5744,0.000800078570216278,0.00059380287178045,1.34738076934073,0.185440798292307
"BL1 M3: sunshine_h",5744,0.000761179628410938,0.000588611961807245,1.29317730151771,0.203368733953185
"BL1 M4: sunshine_h",5744,0.00112745181001011,0.000573441837826127,1.96611362415444,0.0562526095196812
"BL1 M5: sunshine_h",5744,0.000785229874837302,0.000594687730086814,1.32040705585547,0.194204938187173
"BL2 M1: temp_mean",4972,0.00725232814884745,0.00123648898777639,5.8652589877808,1.87859601890834e-07
"BL2 M2: sunshine_h",4580,0.00264600395251502,0.00132162312083244,2.0020866091147,0.0499591455104637
"BL2 M3: sunshine_h",4580,0.00255327260760377,0.00130702408367351,1.95350081111555,0.0555894336808248
"BL2 M4: sunshine_h",4580,0.00450991736564993,0.00160528060530076,2.80942618428071,0.00675409916068543
"BL2 M5: sunshine_h",4580,0.00264644181435506,0.00131873618574257,2.00680154451428,0.0494398205581349
"Pool M1: temp_mean",11366,0.00372132351869077,0.000716345697951204,5.19487103689461,1.78689910442261e-06
"Pool M2: sunshine_h",10324,0.00191675219540877,0.000705545036988964,2.71669715598715,0.0083545866792822
"Pool M3: sunshine_h",10324,0.00181430338942937,0.00070874370659281,2.55988641952305,0.0126979431896509
"Pool M4: sunshine_h",10324,0.0028731477120859,0.000810932048041788,3.54301907172603,0.000720148561536864
"Interact: sunshine_h (BL1 base)",10324,-0.000422434627023703,0.000681248508346812,-0.620088883642221,0.53727180534851
"Interact: sunshine_h x D2",10324,0.00508896347482531,0.00157550986599908,3.23004227688426,0.00190798957566801
