"label","n","var","coef","se","t","p","stars","ci_lo","ci_hi"
"BL1 M_D1: sunshine_h (weekend interaction model)",5744,"sunshine_h",0.00334708681297951,0.00142433463467655,2.34993008769993,0.0237986477675989,"**",0.000555390929013473,0.00613878269694555
"BL1 M_D1: sunshine_h × is_weekend",5744,"sunshine_h:is_weekend",-0.00274052126438375,0.00142978479450101,-1.91673689279944,0.0624348684447743,"*",-0.00554289946160572,6.18569328382289e-05
"BL1 M_D2: sunshine_h (weekday only)",727,"sunshine_h",0.000801066680915025,0.00168262602936241,0.476081236671804,0.636815757435341,"",-0.00249688033663531,0.00409901369846536
"BL1 M_D3: sunshine_h (weekend only)",5016,"sunshine_h",0.0008111653337381,0.000584056727119524,1.38884682955137,0.172564322973619,"",-0.000333585851416167,0.00195591651889237
"BL2 M_D1: sunshine_h (weekend interaction model)",4580,"sunshine_h",0.00689988088390557,0.00229461098024164,3.00699375332848,0.00389616526212548,"***",0.00240244336263195,0.0113973184051792
"BL2 M_D1: sunshine_h × is_weekend",4580,"sunshine_h:is_weekend",-0.00451996520957543,0.00202882843510863,-2.2278696075814,0.0297821835417175,"**",-0.00849646894238834,-0.000543461476762524
"BL2 M_D2: sunshine_h (weekday only)",1808,"sunshine_h",0.00459406122458145,0.00208059777297268,2.20804870804876,0.0312084781620639,"**",0.000516089589555003,0.00867203285960789
"BL2 M_D3: sunshine_h (weekend only)",2772,"sunshine_h",0.00317364377855564,0.00149890493081345,2.11730825172035,0.0385327503536546,"**",0.00023579011416127,0.00611149744295
"BL1 M8 [ref 10-15]: frost",5744,"temp_bin_ref1015frost",-0.00615520485167145,0.015509725036381,-0.39686099123184,0.693579547234195,"",-0.0365542659229782,0.0242438562196353
"BL1 M8 [ref 10-15]: cold_0_5",5744,"temp_bin_ref1015cold_0_5",-0.0101511580783098,0.00672934497456505,-1.5084912597999,0.139287589198472,"",-0.0233406742284573,0.00303835807183773
"BL1 M8 [ref 10-15]: cool_5_10",5744,"temp_bin_ref1015cool_5_10",0.00289189493079672,0.00738894829391963,0.391381129730798,0.69759273099747,"",-0.0115904437252858,0.0173742335868792
